Airline,From,To,Price
IndiGo,Mumbai,Chennai,"₹ 5,058"
IndiGo,Mumbai,Chennai,"₹ 5,058"
Air India,Mumbai,Chennai,"₹ 5,071"
Air India,Mumbai,Chennai,"₹ 5,451"
IndiGo,Mumbai,Chennai,"₹ 5,461"
IndiGo,Mumbai,Chennai,"₹ 5,776"
IndiGo,Mumbai,Chennai,"₹ 5,832"
Akasa Air,Mumbai,Chennai,"₹ 6,305"
IndiGo,Mumbai,Chennai,"₹ 6,987"
Air India,Mumbai,Chennai,"₹ 7,787"
IndiGo,Mumbai,Chennai,"₹ 10,137"
IndiGo,Mumbai,Chennai,"₹ 10,977"
IndiGo,Mumbai,Chennai,"₹ 10,977"
Air India,Mumbai,Chennai,"₹ 11,296"
IndiGo,Mumbai,Chennai,"₹ 12,027"
Air India,Mumbai,Chennai,"₹ 15,687"
